('466 E  186 ST', '10458')[1.0, 40.857015, -73.892265, 2016.0, 1997.0, 2000.0, 2400.0, 19980529, 223500.0, 513987.0, 20171201, 990.0, 555106.0, 555106.0, 10458.0]
('2940 TENBROECK AVE', '10469')[1.0, 40.86887, -73.85248, 2016.0, 2004.0, 2600.0, 2808.0, 20040920, 535000.0, 635112.0, 20171201, -2203.0, 679570.0, 679570.0, 10469.0]
('9 CORTLANDT ST', '10302')[3.0, 40.630777, -74.131165, 2016.0, 1910.0, 2560.0, 1176.0, 20170411, 208633.0, 241647.0, 20171201, -8497.0, 282727.0, 282727.0, 10302.0]
('3208 JOHNSON AVE', '10463')[3.0, 40.883935, -73.91012, 2016.0, 1920.0, 3823.0, 1200.0, 20171114, 620000.0, 801533.0, 20171201, 15496.0, 865656.0, 865656.0, 10463.0]
('329 NEW LOTS AVE', '11207')[3.0, 40.661365, -73.89473, 2016.0, 1930.0, 1882.0, 2720.0, 20110317, 10000.0, 596822.0, 20171201, -7398.0, 656504.0, 656504.0, 11207.0]
('882 LAMONT AVE', '10309')[3.0, 40.535999, -74.20325, 2016.0, 1978.0, 12000.0, 4400.0, 20100223, 990000.0, 1127099.0, 20171201, 5978.0, 1205996.0, 1205996.0, 10309.0]
('150 HOOPER AVE', '10306')[3.0, 40.55589, -74.13302, 2016.0, 1960.0, 4004.0, 1196.0, 20141203, 537500.0, 566505.0, 20171201, 262.0, 600495.0, 600495.0, 10306.0]
('995 FULTON ST', '11238')[6.0, 40.68287, -73.963085, 2016.0, 1930.0, 826.0, 1040.0, 20131203, 200000.0, 969792.0, 20171201, -7758.0, 1018282.0, 1018282.0, 11238.0]
('347 HYLAN BLVD', '10305')[6.0, 40.610695, -74.0735, 2016.0, 1997.0, 3125.0, 2334.0, 20130510, 423000.0, 628344.0, 20171201, 5139.0, 672328.0, 672328.0, 10305.0]
('345 LINCOLN AVE', '11208')[6.0, 40.681595, -73.868445, 2016.0, 1920.0, 2302.0, 2144.0, 20061214, 489000.0, 623216.0, 20171201, -3132.0, 654377.0, 654377.0, 11208.0]
('466 46 ST', '11220')[1.0, 40.64749, -74.008705, 2016.0, 1899.0, 2003.0, 2500.0, 20030606, 248000.0, 1181548.0, 20171201, 6487.0, 1276072.0, 1276072.0, 11220.0]
('102 BENJAMIN DR', '10303')[3.0, 40.62311, -74.16073, 2016.0, 1988.0, 1656.0, 1595.0, 20130814, 274000.0, 405135.0, 20171201, 1137.0, 425392.0, 425392.0, 10303.0]
('256 CORSON AVE', '10301')[6.0, 40.636615, -74.0868, 2016.0, 1910.0, 2400.0, 1984.0, 20161006, 290000.0, 410224.0, 20171201, 12003.0, 443042.0, 443042.0, 10301.0]
('428 RIDGEWOOD AVE', '11208')[6.0, 40.685125, -73.87288, 2016.0, 1901.0, 2000.0, 3300.0, 20160321, 610000.0, 799708.0, 20171201, 3696.0, 839693.0, 839693.0, 11208.0]
('175 CROWN ST', '11225')[3.0, 40.666775, -73.95493, 2016.0, 1910.0, 2400.0, 2400.0, 20000126, 212000.0, 1610096.0, 20171201, 39873.0, 1771106.0, 1771106.0, 11225.0]
('1646 E  29 ST', '11229')[1.0, 40.610685, -73.94514, 2016.0, 1935.0, 5000.0, 1874.0, 20000626, 555000.0, 1159567.0, 20171201, -10021.0, 1345098.0, 1345098.0, 11229.0]
('2304 E  64 ST', '11234')[3.0, 40.61306, -73.90925, 2016.0, 1950.0, 4617.0, 2991.0, 20150527, 995000.0, 1334814.0, 20171201, -7504.0, 1401555.0, 1401555.0, 11234.0]
('2078 NEW YORK AVE', '11210')[3.0, 40.621705, -73.943285, 2016.0, 1925.0, 2150.0, 1554.0, 19890515, 178000.0, 837556.0, 20171201, -6008.0, 879434.0, 879434.0, 11210.0]
('124 FISHER AVE', '10307')[3.0, 40.514714, -74.24421, 2016.0, 1905.0, 4791.0, 1650.0, 20150403, 490000.0, 536529.0, 20171201, 17610.0, 584817.0, 584817.0, 10307.0]
('852 E  215 ST', '10467')[3.0, 40.879035, -73.85957, 2016.0, 1955.0, 2552.0, 1854.0, 20141028, 396000.0, 384111.0, 20171201, -1907.0, 403317.0, 403317.0, 10467.0]
('632 CHAUNCEY ST', '11207')[1.0, 40.682956, -73.909362, 2016.0, 2005.0, 1667.0, 3030.0, 20060717, 667800.0, 1096672.0, 20171201, -16125.0, 1173439.0, 1173439.0, 11207.0]
